record_id,model_text,language_type,annotator_1_label,annotator_2_label,adjudicated_label,annotation_notes
RF_POST_000739,"ශබ්දය ,මුල් ආකෘතිය වෙනස් කර ඇති සහ ලියාපදිංචි නොකළ ධාරිතාවයෙන් වැඩි ,මුල් ආකෘති වෙනස් කර තියෙන යතුරුපැදි භාරයට ගන්න කියලා රථ වාහන නිලධාරීන්ට අපි උපදෙස් . නි.පොලිස්පති පී. ජේ. සේනාධීර මහතා",sinhala,,,,
RF_POST_000817,කවුරුම හරි මගේ ළග ඉන්න ඔනී කියලා මට දැනුණු හැම තැනකදීම මං හිටියේ තනියම🥺💔,sinhala,,,,
RF_POST_000379,තෙල් මිල වගේ පඩි හම්බ වෙන ජොබ් නැද්ද ! සතියෙන් සතිය වැඩි වෙනවනේ 😍😂,sinhala,,,,
RF_POST_000956,ඔක්කොටම පෙම් වසන්තේ ඇවිත් අපිට තමයි තාම නැත්තේ 😓,sinhala,,,,
RF_POST_000591,"සමහර මිනිස්සු මට විතරක් වෙනස්කම් කරා , මං ඇස් දෙකෙන් දැක්කා..🙂💔",sinhala,,,,
RF_POST_000780,"🚨 හමුදා මූලස්ථානය පිහිටි ඉඩම ෂැංග්රීලා හෝටලයට විකිණීමේදී, මහින්ද ඩොලර් මිලියන 5ක අල්ලසක් ගත් බවට කරුණු අණාවරණය වෙයි !!",sinhala,,,,
RF_POST_000745,රු 3700 ගල් බෝතලේ රු 2200 ක්ම බදු මුදල් පිළිබඳ කාරක සභාවේ දී හෙළිදරව්වක්,sinhala,,,,
RF_POST_000206,"සමහර දවස් තියෙනවා උදා වෙනවට කැමතිවත් නැති, හරියට සඳුදා වගේ ! 😒",sinhala,,,,
RF_POST_000698,එක රැයකින් A/L full syllabus එක පාඩම් කරන්න කන්න හොඳ මොනාද🙂💔,mixed,,,,
RF_POST_000328,Iphone පාවිච්චි කරන අයගෙන් අහන්නේ දැන් ඔයාගේ battery helth එක කීයද 🥹🔋,mixed,,,,
RF_POST_000145,"පොඩිකාලෙ බැට්/බෝල/කූරු ඉස්සීම ,අත්සන නොදීම වගේමයි ප්රේක්ෂකයන්ට බැනීම / විකට් එක අප හිතූ විදියට නෑ කියනඑක... පකිස් එකත් එහෙමවේවිද",sinhala,,,,
RF_POST_000351,හීන පස්සේ දුවන්නවත් වෙලාවක් නෑ උදෙන්ම නැගිටලා වැඩට යන්න එපැයි 🥹😅,sinhala,,,,
RF_POST_000196,දැනට relationship එකක ඉන්න කෙනෙක්ට හිතින් ආදරේ කිරීම වරදක්ද ! 😓,mixed,,,,
RF_POST_000631,බලන් ගියාම මට විතරයි Love ekak neththe 🥲👍,mixed,,,,
