source_row_id,like_count,love_count,care_count,haha_count,wow_count,sad_count,angry_count,source_total_reactions,calculated_total_reactions,record_id,model_text,privacy_masked,language_type,text_hash,duplicate_group_id,duplicate_count,is_duplicate,total_reactions,log_total_reactions,like_ratio,like_ratio_smoothed,love_ratio,love_ratio_smoothed,care_ratio,care_ratio_smoothed,haha_ratio,haha_ratio_smoothed,wow_ratio,wow_ratio_smoothed,sad_ratio,sad_ratio_smoothed,angry_ratio,angry_ratio_smoothed,dominant_reaction,dominant_ratio,dominance_margin,sentiment_label,label_confidence,fusion_score,reaction_entropy,is_ambiguous,positive_anchor_mass,negative_anchor_mass,baseline_filtered_label,baseline_filtered_score,label_version,split,quality_status
1,51,8,1,16,1,0,2,79,79,RF_POST_000001,විනිසුරුවරුන්ගේ විශ්රාම වයස සංශෝධනය කිරීම ඇතුළු කරුණු ඇතුළත් 22වන ආණ්ඩුක්රම ව්යවස්ථා සංශෝධන පනත් කෙටුම්පත ගැසට් කර තිබේ.,False,sinhala,eff1bea08d1c1a413e584360a0f58368b3162521d47da157b8cae7b2ab295898,DUP_eff1bea08d1c1a41,1,False,79,4.382026634673881,0.6455696202531646,0.6046511627906976,0.10126582278481013,0.10465116279069768,0.012658227848101266,0.023255813953488372,0.20253164556962025,0.19767441860465115,0.012658227848101266,0.023255813953488372,0.0,0.011627906976744186,0.02531645569620253,0.03488372093023256,like,0.6455696202531646,0.4430379746835443,positive,0.12288651932503016,0.21131590135418243,0.5352350556429544,True,0.10822784810126582,0.02531645569620253,positive,0.6208530805687204,reactionfusion_v1_provisional,train,approved
4,326,1,0,177,4,9,8,525,525,RF_POST_000004,පල්ලන්සේන බන්ධනාගාරයේ නොසන්සුන්තාවක් මේ වනවිට රැඳවියන් පිරිසක් වහලය මත නැග ඇති බව ද සඳහන්ය,False,sinhala,bcf9f3cfa020b706dd61d62f40817879f36969367ad55b713d67422294952a9d,DUP_bcf9f3cfa020b706,1,False,525,6.26530121273771,0.6209523809523809,0.6146616541353384,0.0019047619047619048,0.0037593984962406013,0.0,0.0018796992481203006,0.33714285714285713,0.33458646616541354,0.007619047619047619,0.009398496240601503,0.017142857142857144,0.018796992481203006,0.015238095238095238,0.016917293233082706,like,0.6209523809523809,0.2838095238095238,neutral,0.16832055615756397,-0.09183314352688979,0.4342404852712776,True,0.0019047619047619048,0.032380952380952385,negative,-0.8888888888888888,reactionfusion_v1_provisional,train,approved
5,35,0,1,0,0,0,0,36,36,RF_POST_000005,පේරාදෙණිය විශ්වවිද්යාලයේ කටයුතු 10 වැනිදා සිට යළි ඇරඹෙයි,False,sinhala,659262edefeae1b12d1557bde62b40b8986dcdeeafbd148479483513ff8c6202,DUP_659262edefeae1b1,1,False,36,3.6109179126442243,0.9722222222222222,0.8372093023255814,0.0,0.023255813953488372,0.027777777777777776,0.046511627906976744,0.0,0.023255813953488372,0.0,0.023255813953488372,0.0,0.023255813953488372,0.0,0.023255813953488372,like,0.9722222222222222,0.9444444444444444,neutral,0.1912479595235908,0.036046683003284105,0.06522939684703512,True,0.015277777777777779,0.0,positive,1.0,reactionfusion_v1_provisional,train,approved
6,1151,99,4,37,36,259,6,1592,1592,RF_POST_000006,කුරුවිට බන්ධනාගාරයේ ගැටුමෙන් දෙදෙනෙකු මරුට,False,sinhala,82b9390ddfc2e593ff118d4db41f1ec2aeb623384b8c8723a0f97f14e84e42fd,DUP_82b9390ddfc2e593,1,False,1592,7.373374309910049,0.7229899497487438,0.7204502814258912,0.062185929648241205,0.06253908692933083,0.002512562814070352,0.0031269543464665416,0.023241206030150754,0.023764853033145718,0.022613065326633167,0.023139462163852407,0.16268844221105527,0.16260162601626016,0.0037688442211055275,0.004377736085053158,like,0.7229899497487438,0.5603015075376885,negative,0.1618914133948254,-0.21142960903504965,0.4686022536418697,True,0.0635678391959799,0.1664572864321608,negative,-0.44729655925723655,reactionfusion_v1_provisional,train,approved
7,26,8,1,0,0,0,0,35,35,RF_POST_000007,2025 වසරේ විස්සයි20 හොඳම පිතිකරු පැතුම් නිස්සංක ශ්රී ලංකා ක්රිකට් සම්මාන රාත්රිය,False,sinhala,89ae72a72afb070436af3e173fc15c2ff53a1b14c3421e64510dfcf5a44581ab,DUP_89ae72a72afb0704,1,False,35,3.58351893845611,0.7428571428571429,0.6428571428571429,0.22857142857142856,0.21428571428571427,0.02857142857142857,0.047619047619047616,0.0,0.023809523809523808,0.0,0.023809523809523808,0.0,0.023809523809523808,0.0,0.023809523809523808,like,0.7428571428571429,0.5142857142857142,positive,0.18385296119054087,0.4397605803054588,0.33904281377523127,True,0.24428571428571427,0.0,positive,1.0,reactionfusion_v1_provisional,train,approved
8,55,13,2,1,0,0,0,71,71,RF_POST_000008,දුෂ්මන්ත චමීර 2025 වසරේ විස්සයි20 හොඳම පන්දු යවන්නා ශ්රී ලංකා ක්රිකට් සම්මාන රාත්රිය,False,sinhala,1ea83ccf689b0d511fbab1396db4384422f1039e1448f6a2ca928d4792c2d482,DUP_1ea83ccf689b0d51,1,False,71,4.276666119016055,0.7746478873239436,0.717948717948718,0.18309859154929578,0.1794871794871795,0.028169014084507043,0.038461538461538464,0.014084507042253521,0.02564102564102564,0.0,0.01282051282051282,0.0,0.01282051282051282,0.0,0.01282051282051282,like,0.7746478873239436,0.5915492957746479,positive,0.24216735460667235,0.38568443578150485,0.3439232814446463,True,0.19859154929577466,0.0,positive,1.0,reactionfusion_v1_provisional,train,approved
10,167,1,1,68,2,3,1,243,243,RF_POST_000010,කුරුවිට බන්ධනාගාරයේ රැඳවියන් පිරිසක් අතරද අද (07) නොසන්සුන්කාරී තත්ත්වයක් හටගෙන තිබේ.,False,sinhala,851546a718aa3d3885ff739b68c82f3d917ad15a23eac58075767946342b70d3,DUP_851546a718aa3d38,1,False,243,5.497168225293202,0.6872427983539094,0.672,0.00411522633744856,0.008,0.00411522633744856,0.008,0.27983539094650206,0.276,0.00823045267489712,0.012,0.012345679012345678,0.016,0.00411522633744856,0.008,like,0.6872427983539094,0.4074074074074074,neutral,0.5236171176321816,-0.029448087248801685,0.39864195995527874,True,0.006378600823045268,0.01646090534979424,negative,-0.4414414414414415,reactionfusion_v1_provisional,train,approved
11,75,1,0,52,0,0,0,128,128,RF_POST_000011,දිනෙන් දින කල්දමමින් තිබෙන පළාත් සභා මැතිවරණය ඉක්මනින් පවත්වන්න ශ්රී ලංකාවේ නිල සංචාරයක නිරත ඉන්දීය විදේශ ලේකම් මෙරට බලධාරීන් හමුවේ ප්රකාශ කරයි,False,sinhala,913b0ec4219ecd05612f6a202e5e82176878edcc38b9b11730a31d16dfdd6370,DUP_913b0ec4219ecd05,1,False,128,4.859812404361672,0.5859375,0.562962962962963,0.0078125,0.014814814814814815,0.0,0.007407407407407408,0.40625,0.3925925925925926,0.0,0.007407407407407408,0.0,0.007407407407407408,0.0,0.007407407407407408,like,0.5859375,0.1796875,neutral,0.4997857109030483,0.025006610354475794,0.36849559167407775,True,0.0078125,0.0,positive,1.0,reactionfusion_v1_provisional,train,approved
12,240,76,4,3,2,0,0,325,325,RF_POST_000012,බාල දක්ෂයෝ ලක්ෂයක් හෙට සිට ගෙන් ගෙට එනවා,False,sinhala,b4cf920016399b4a67e5e90c263be98e4383c8ce360ddd8c67f5724f564eed9d,DUP_b4cf920016399b4a,1,False,325,5.786897381366708,0.7384615384615385,0.7259036144578314,0.23384615384615384,0.2319277108433735,0.012307692307692308,0.015060240963855422,0.009230769230769232,0.012048192771084338,0.006153846153846154,0.009036144578313253,0.0,0.0030120481927710845,0.0,0.0030120481927710845,like,0.7384615384615385,0.5046153846153846,positive,0.36139012237715173,0.4402606306571992,0.35581815252714477,False,0.24061538461538462,0.0,positive,1.0,reactionfusion_v1_provisional,train,approved
14,841,187,7,7,5,2,0,1049,1049,RF_POST_000014,"මහ නගර සභාවට වරිපනම් නොගෙ වූ කොළඹ 7 ඉඩම් 30 පවරා ගන්න යනවා කොළඹ කොටුව දේපළ58 ක් ,වැල්ලවත්තේ දේපළ 67ක් කෝටි ගණන් දේපළ ඒ අතර",False,sinhala,cf009ce315a149434c57f0e800f7b09c76f726d183d80d5fb3c7ed35feb62231,DUP_cf009ce315a14943,1,False,1049,6.956545443151569,0.8017159199237369,0.7973484848484849,0.1782650142993327,0.17803030303030304,0.00667302192564347,0.007575757575757576,0.00667302192564347,0.007575757575757576,0.004766444232602479,0.005681818181818182,0.0019065776930409914,0.002840909090909091,0.0,0.000946969696969697,like,0.8017159199237369,0.6234509056244042,positive,0.3033114267230498,0.35738833766247163,0.30262269361380195,True,0.18193517635843662,0.0019065776930409914,positive,0.9792584910552242,reactionfusion_v1_provisional,train,approved
